Frame	X	Y	Z
1	0.013	14.11	16.72
2	-0.049	12.83	17.53
3	-0.4	12.57	17.58
4	-0.169	13.664	17.22
5	0.315	12.2	17.81
6	-0.054	12.46	17.33
7	0.731	12.0	17.92
8	1.022	12.18	17.8
9	1.128	12.05	17.55
10	1.179	10.695	18.31
11	0.399	10.56	18.67
12	1.26	10.8	17.9
13	0.626	10.71	17.75
14	0.734	10.95	17.64
15	0.751	11.98	17.4
16	0.588	12.09	18.31
17	0.802	11.31	18.14
18	1.022	10.96	17.94
19	1.935	10.586	18.84
20	1.197	11.91	18.53
21	0.966	12.11	17.88
22	0.774	11.13	18.44
23	0.424	12.12	17.36
24	0.159	11.65	18.12
25	1.042	11.35	17.95
26	0.478	11.95	17.69
27	1.279	10.83	18.0
28	0.794	11.04	17.81
29	1.662	10.94	18.02
30	0.884	11.49	17.48
31	0.48	11.01	17.94
32	0.493	10.47	18.1
33	0.902	10.67	17.38
34	0.246	10.72	17.6
35	1.167	11.01	17.36
36	-0.042	10.36	18.58
37	0.394	10.375	17.95
38	0.081	10.98	18.66
39	-0.016	10.34	18.56
40	-0.236	10.445	18.67
41	0.057	11.95	18.56
42	0.034	12.55	18.75
43	0.452	12.586	17.77
44	0.614	11.43	17.42
45	-0.746	12.12	18.14
46	-0.122	12.17	16.98
47	0.247	12.33	16.58
48	0.19	11.555	17.42
49	0.539	11.51	17.03
50	0.999	11.53	17.02
51	0.351	11.195	17.53
52	0.59	12.35	16.89
53	0.242	12.086	17.25
54	-0.396	12.16	17.27
55	-0.478	12.7	17.69
56	-0.514	11.68	17.52
57	-0.164	11.47	17.31
58	-0.159	11.68	17.62
59	-0.734	10.33	17.94
60	-0.267	11.28	17.58
61	-1.501	13.266	17.88
62	-0.116	10.766	17.44
63	-1.12	12.945	17.98
64	-0.9	12.08	17.73
65	-0.796	11.03	18.02
66	-0.801	11.51	17.75
67	-1.706	11.625	17.7
68	-1.043	11.766	17.3
69	-0.24	11.88	17.81
70	-2.135	12.39	18.2
71	-0.474	11.84	17.4
72	-0.598	11.78	17.69
73	-0.935	11.39	18.1
74	-0.774	10.625	18.25
75	-0.678	11.3	18.3
76	-1.178	11.75	17.75
77	-0.288	10.88	19.02
78	0.083	11.945	17.25
79	-0.044	11.72	18.12
80	-0.221	11.734	17.84
81	-0.072	11.56	17.84
82	-0.007	11.055	18.8
83	-0.158	10.49	18.4
84	-0.188	11.71	18.19
85	0.003	10.695	17.92
86	-0.457	12.3	17.95
87	0.061	12.19	17.38
88	-0.289	12.29	18.69
89	-0.904	11.98	17.94
90	-0.574	11.11	18.66
91	-0.384	10.68	19.27
92	-1.476	11.39	18.08
93	-1.615	11.625	18.31
94	-0.782	12.81	18.17
95	-1.02	12.28	17.83
96	-0.476	10.0	18.78
97	-0.268	12.3	17.8
98	0.259	11.42	17.55
99	0.169	11.41	17.84
100	-0.606	11.68	18.17
101	-1.548	12.83	17.75
102	-1.179	11.914	18.48
103	-0.386	12.53	17.66
104	-0.246	11.625	19.03
105	0.282	12.07	18.23
106	0.026	12.22	18.34
107	-0.446	11.695	18.48
108	-0.241	11.945	19.16
109	0.456	11.36	18.62
110	0.128	12.38	18.05
111	0.817	11.44	17.77
112	0.388	10.8	18.88
113	-0.065	11.484	18.4
114	0.339	11.24	18.45
115	0.198	12.27	17.53
116	0.018	11.98	18.2
117	0.216	12.586	17.81
118	-0.812	12.83	17.83
119	-0.783	13.086	18.1
120	-0.113	13.46	17.97
121	-0.225	12.44	17.94
122	-0.423	14.15	17.78
123	0.562	12.83	17.31
124	0.722	12.25	17.33
125	0.955	12.69	17.2
126	0.91	14.83	17.2
127	1.127	13.305	17.31
128	1.17	12.805	17.03
129	0.684	12.33	19.02
130	1.568	11.62	18.08
131	0.37	11.01	17.98
132	-1.626	13.26	18.03
133	-0.573	11.016	17.9
134	-0.542	11.57	18.25
135	-0.753	12.66	17.94
136	-0.432	11.48	19.03
137	0.112	11.33	18.3
138	0.563	10.65	18.02
139	0.858	10.92	17.64
140	1.007	11.72	17.44
141	0.12	11.875	17.53
142	-0.904	12.43	17.72
143	0.085	11.77	17.5
144	0.038	12.48	17.16
145	1.225	11.88	16.89
146	0.944	11.93	16.92
147	1.06	11.83	17.62
148	1.541	11.85	16.86
149	1.467	12.23	17.25
150	1.022	11.68	16.84
151	0.602	10.88	16.95
152	1.367	10.22	17.45
153	0.962	10.64	17.9
154	1.812	10.03	17.64
155	0.844	10.69	17.61
156	1.474	11.71	16.69
157	0.644	12.88	16.94
158	1.858	12.2	16.75
159	0.927	11.69	17.14
160	0.784	11.16	17.48
161	0.756	10.83	17.56
162	0.288	11.29	17.94
163	1.425	10.64	17.64
164	1.475	9.89	17.8
165	1.406	10.93	17.53
166	0.698	11.57	17.17
167	-0.016	11.695	17.83
168	0.089	11.34	17.14
169	0.062	10.85	18.06
170	0.031	11.66	17.72
171	0.59	12.266	17.2
172	1.004	10.664	17.42
173	1.091	11.1	17.47
174	0.078	11.64	17.23
175	0.218	12.15	17.7
176	0.047	11.13	17.77
177	0.047	12.19	17.53
178	-0.016	9.97	18.34
179	-0.129	11.29	17.5
180	-0.176	12.56	17.52
181	0.55	11.2	17.8
182	0.204	11.23	17.53
183	0.165	11.65	17.64
184	1.305	11.27	17.94
185	0.024	11.2	18.06
186	-0.368	12.555	17.92
187	0.527	11.57	17.56
188	0.798	11.1	18.03
189	0.638	10.94	17.45
190	0.626	11.195	17.55
191	0.965	10.6	17.39
192	1.485	10.72	17.39
193	1.387	11.055	17.44
194	0.651	10.766	17.61
195	0.826	10.49	18.08
196	0.18	11.125	17.83
197	1.15	10.86	17.62
198	0.562	11.01	17.72
199	1.393	10.94	17.19
200	0.684	11.03	17.94
201	-0.148	11.04	17.56
202	0.443	10.94	17.8
203	0.553	11.11	17.77
204	0.524	11.59	17.84
205	0.574	11.336	18.19
206	1.264	11.88	17.52
207	-1.221	12.266	18.11
208	-1.202	13.51	17.4
209	-1.124	12.79	17.88
210	-1.336	12.8	18.2
211	-0.463	12.375	17.77
212	-1.194	12.32	18.12
213	-0.511	12.65	18.03
214	-0.084	12.2	18.12
215	-1.245	12.02	18.25
216	-0.962	11.74	18.45
217	-1.007	12.03	17.89
218	-1.309	12.77	17.4
219	-0.663	12.27	18.05
220	-1.016	12.1	18.05
221	-1.383	12.016	17.78
222	-1.532	13.19	17.44
223	-1.025	12.016	18.08
224	-0.126	12.63	19.02
225	-1.434	13.67	18.27
226	-0.736	11.98	18.0
227	-0.287	12.53	18.03
228	-0.19	12.06	18.44
229	-0.83	12.734	17.7
230	-0.688	13.04	17.02
231	0.079	13.61	16.58
232	-1.146	13.59	18.08
233	-1.49	11.99	19.28
234	-1.465	12.24	18.69
235	-1.237	12.03	18.75
236	-0.299	14.336	16.98
237	-0.556	13.914	17.2
238	-1.008	14.06	17.22
239	-0.687	13.31	17.55
240	-0.478	12.64	18.95
241	-0.368	13.16	17.4
242	-0.104	13.77	16.56
243	-0.201	12.99	17.48
244	0.566	13.25	16.77
245	1.165	14.17	16.39
246	1.104	13.625	16.9
247	-0.191	12.63	17.94
248	0.67	14.414	16.42
249	1.033	13.42	16.88
250	1.133	13.125	16.89
251	1.083	13.24	17.19
252	0.736	14.055	16.62
253	0.098	14.52	16.45
254	1.305	13.445	17.02
255	0.06	14.45	16.17
256	-0.424	14.37	16.69
257	-0.548	14.2	17.1
258	-0.348	14.02	16.83
259	0.013	14.33	16.36
260	0.184	13.49	17.47
261	0.511	13.79	16.89
262	0.794	13.9	16.31
263	0.457	12.93	17.16
264	0.268	13.875	16.86
265	0.004	14.79	16.39
266	0.7	13.85	16.86
267	-0.385	13.53	17.16
268	-0.322	14.51	16.45
