Frame	X	Y	Z
1	7.516	7.727	13.41
2	7.824	7.766	13.52
3	6.816	7.434	13.89
4	6.875	7.74	13.49
5	7.61	7.836	13.39
6	6.914	7.668	13.37
7	6.992	8.13	13.98
8	7.33	7.88	13.33
9	7.5	8.42	13.17
10	7.0	7.617	13.52
11	7.973	8.336	13.3
12	6.906	7.81	13.414
13	7.375	7.973	13.48
14	7.227	8.07	13.8
15	7.336	8.4	13.73
16	7.26	7.85	13.64
17	7.21	7.83	13.79
18	7.316	7.883	13.34
19	7.77	7.875	13.12
20	7.992	7.824	13.805
21	7.86	7.78	13.46
22	7.65	8.15	13.51
23	7.33	7.32	13.17
24	7.51	7.52	13.58
25	7.457	7.793	13.24
26	7.5	7.957	13.414
27	8.49	7.83	13.08
28	7.527	8.26	13.34
29	7.367	7.832	13.12
30	7.586	8.97	13.48
31	7.285	8.555	13.49
32	7.64	8.266	13.35
33	7.5	7.91	13.9
34	8.02	7.758	13.766
35	7.96	7.9	13.92
36	7.62	7.547	13.67
37	7.29	8.39	13.29
38	7.656	8.54	13.49
39	7.47	7.68	13.71
40	7.637	8.59	13.7
41	7.234	8.7	13.7
42	6.938	8.05	13.51
43	7.008	7.81	13.83
44	7.133	7.7	13.414
45	6.855	7.703	13.71
46	6.945	8.2	13.65
47	6.844	8.15	13.86
48	6.973	8.28	13.484
49	6.938	7.996	13.39
50	7.24	7.84	13.54
51	7.21	8.02	13.6
52	7.21	8.125	13.336
53	7.33	8.15	13.46
54	7.656	7.58	13.516
55	7.4	7.344	13.57
56	7.633	7.43	13.19
57	7.21	8.06	13.586
58	7.223	7.4	13.766
59	7.055	7.85	13.46
60	7.3	7.863	13.74
61	7.008	7.95	13.875
62	7.277	7.95	13.6
63	6.938	7.625	13.41
64	6.5	7.508	13.52
65	6.93	7.83	13.625
66	6.848	8.15	14.12
67	7.254	8.95	13.37
68	7.22	8.23	13.06
69	7.586	8.0	13.41
70	7.727	8.266	13.33
71	7.387	8.195	13.22
72	7.55	8.7	12.7
73	7.33	7.906	12.625
74	7.29	8.22	13.02
75	7.83	7.926	12.96
76	7.332	7.8	13.16
77	7.664	7.312	13.25
78	7.914	7.13	13.266
79	7.754	7.508	13.37
80	7.74	7.586	13.26
81	7.277	7.74	13.32
82	7.914	7.668	13.16
83	8.125	7.04	13.51
84	7.77	7.598	12.97
85	7.62	7.594	13.586
86	7.65	7.883	12.83
87	7.414	7.184	13.52
88	7.504	7.754	13.086
89	7.586	7.543	13.555
90	7.586	7.645	13.016
91	7.297	7.594	13.07
92	7.363	7.617	12.75
93	7.586	7.375	12.99
94	7.56	7.754	12.81
95	7.43	7.83	13.07
96	7.508	7.773	12.92
97	7.062	7.57	13.305
98	7.21	7.734	13.09
99	7.535	7.6	12.98
100	7.234	8.16	12.914
101	7.312	7.953	13.43
102	7.633	7.914	13.59
103	7.45	7.734	13.32
104	7.387	7.875	13.664
105	7.543	7.562	13.11
106	7.31	7.96	13.89
107	7.27	7.812	13.336
108	8.04	7.758	13.17
109	7.312	7.47	13.336
110	6.844	7.523	12.945
111	7.477	8.04	13.08
112	7.363	7.812	13.44
113	7.375	8.12	13.445
114	7.38	7.574	13.29
115	7.688	7.727	13.26
116	7.69	7.94	13.18
117	7.305	7.945	13.375
118	7.453	8.17	13.59
119	7.508	8.16	13.734
120	7.137	7.645	13.7
121	6.9	7.965	13.87
122	7.06	8.31	13.93
123	7.44	8.05	13.53
124	7.11	7.945	13.664
125	7.496	7.98	14.07
126	7.332	7.855	13.58
127	7.336	7.996	13.625
128	7.242	7.68	13.46
129	7.277	7.875	13.61
130	7.395	8.31	13.79
131	6.855	8.3	13.78
132	7.35	8.07	13.78
133	6.934	7.656	13.59
134	7.24	8.24	13.766
135	7.227	8.03	13.734
136	7.535	7.863	13.695
137	8.055	7.637	13.72
138	7.547	8.195	13.55
139	7.406	8.03	14.04
Average	7.387	7.89	13.445
