Frame	X	Y	Z
1	-8.1	2.16	11.31
2	-8.7	2.143	10.82
3	-8.516	1.321	11.36
4	-8.68	1.163	11.05
5	-8.055	1.798	11.83
6	-7.613	1.458	11.695
7	-7.34	1.262	11.984
8	-7.523	1.283	11.66
9	-8.07	1.794	11.4
10	-7.996	1.892	11.97
11	-7.27	1.42	12.52
12	-7.863	1.582	11.82
13	-7.992	1.506	12.01
14	-7.914	1.437	12.2
15	-7.73	1.016	11.77
16	-7.79	0.952	11.93
17	-7.87	1.409	12.2
18	-8.016	1.317	11.97
19	-7.855	1.785	11.72
20	-7.633	1.711	12.2
21	-7.965	2.377	11.445
22	-7.848	1.219	11.86
23	-8.43	1.817	11.39
24	-8.414	1.24	11.445
25	-8.28	1.411	11.39
26	-8.46	2.422	11.766
27	-7.9	1.896	11.64
28	-8.086	2.01	11.94
29	-8.17	2.176	11.58
30	-8.43	1.909	12.12
31	-7.957	1.887	11.61
32	-8.164	2.082	12.1
33	-7.656	1.53	12.414
34	-8.42	2.432	11.18
35	-8.234	2.322	11.914
36	-7.95	1.708	12.17
37	-8.086	1.463	11.766
38	-8.12	1.639	11.26
39	-7.65	1.979	11.66
40	-7.938	1.969	11.69
41	-8.15	1.373	11.97
42	-7.633	1.931	11.63
43	-7.97	2.174	11.05
44	-8.016	2.484	11.484
45	-8.28	2.64	11.46
46	-7.855	1.908	11.63
47	-8.305	2.229	11.83
48	-8.42	2.77	11.62
49	-8.805	2.404	11.11
50	-8.56	2.213	11.1
51	-8.57	1.959	11.36
52	-7.57	1.592	11.516
53	-8.44	1.985	11.47
54	-8.41	2.787	11.234
55	-8.11	2.193	11.62
56	-8.02	1.981	11.484
57	-8.39	2.041	11.55
58	-8.64	1.567	11.52
59	-8.17	2.516	11.53
60	-8.17	1.811	11.3
61	-8.17	2.443	11.35
62	-7.754	1.923	12.01
63	-7.395	2.697	11.98
64	-7.617	2.246	11.62
65	-7.63	1.806	11.76
66	-7.86	2.29	11.87
67	-7.78	0.726	11.77
68	-7.69	1.42	11.875
69	-8.04	1.951	11.48
70	-8.016	1.868	11.51
71	-8.086	1.894	11.45
72	-7.438	1.596	11.6
73	-8.125	2.637	12.49
74	-7.875	2.0	11.69
75	-8.09	2.094	11.81
76	-8.33	2.02	11.83
77	-8.49	1.606	11.55
78	-8.33	1.559	11.67
79	-7.812	1.739	11.52
80	-8.36	1.917	11.26
81	-8.055	1.804	11.49
82	-8.77	1.553	10.945
83	-8.38	1.508	11.65
84	-8.4	1.502	12.01
85	-8.336	1.428	11.36
86	-8.49	1.856	11.39
87	-8.3	1.456	11.79
88	-7.754	1.77	11.75
89	-7.836	1.423	11.42
90	-8.05	1.516	11.445
91	-8.09	1.468	11.48
92	-8.23	2.3	11.125
93	-8.05	1.672	11.47
94	-7.875	1.638	11.516
95	-8.484	1.447	11.33
96	-8.24	0.816	11.625
97	-8.16	1.547	11.86
98	-8.7	1.963	11.664
99	-7.24	1.266	12.32
100	-7.812	1.651	11.695
101	-7.883	1.685	11.61
102	-8.39	1.62	11.086
103	-7.094	1.723	12.26
104	-7.97	1.405	11.73
105	-8.086	1.708	11.43
106	-7.336	1.15	12.23
107	-7.504	1.752	11.89
108	-7.4	1.696	11.65
109	-7.98	1.517	11.695
110	-7.973	1.264	11.51
111	-7.656	1.21	11.89
112	-8.74	2.006	11.33
113	-7.504	1.749	12.17
114	-7.973	1.872	11.51
115	-7.797	1.198	11.44
116	-8.22	1.825	11.82
117	-7.258	1.725	11.87
118	-7.934	2.254	12.33
119	-8.28	1.633	11.336
120	-7.5	1.294	11.805
121	-7.336	1.678	12.016
122	-7.73	2.033	11.85
123	-7.477	1.601	11.79
124	-7.625	2.043	11.914
125	-8.21	1.693	11.555
126	-8.39	1.721	11.516
127	-7.902	2.027	11.56
128	-8.57	2.006	11.52
129	-7.87	1.884	11.9
130	-7.977	1.257	11.625
131	-7.598	2.393	11.984
132	-7.95	1.763	11.6
133	-7.727	2.006	11.96
134	-7.477	1.01	11.81
135	-8.19	1.95	11.65
136	-8.31	1.937	11.17
137	-7.656	1.812	12.22
138	-8.68	2.438	11.68
139	-8.33	2.455	11.39
140	-7.676	1.705	11.484
141	-7.945	2.184	11.45
142	-8.02	2.207	11.78
143	-7.844	1.997	11.29
144	-8.266	1.356	11.19
145	-8.26	1.769	11.54
146	-8.7	2.512	11.23
147	-8.44	2.049	11.44
148	-8.25	2.537	11.37
149	-8.26	1.728	11.18
150	-8.586	1.307	11.39
151	-8.484	1.503	11.35
152	-8.38	1.859	11.734
153	-8.32	2.318	11.52
154	-8.23	2.426	11.23
155	-8.85	2.295	11.43
156	-8.18	2.299	11.51
157	-8.49	2.096	11.52
158	-8.61	1.59	11.41
159	-8.34	1.785	11.33
160	-9.08	1.908	11.49
161	-8.8	2.105	11.52
162	-8.97	2.076	10.51
163	-8.625	1.316	11.82
164	-8.734	1.869	11.48
165	-9.17	2.197	11.445
166	-8.266	1.607	11.414
167	-8.93	1.876	10.86
168	-9.305	1.659	11.32
169	-9.01	1.863	11.15
170	-7.895	2.639	11.17
171	-8.984	1.921	10.78
172	-7.996	2.143	11.64
173	-8.12	1.891	11.47
174	-8.34	2.207	11.52
175	-8.42	1.967	11.3
176	-8.03	1.864	11.59
177	-8.266	1.415	11.26
178	-8.38	1.672	11.65
179	-7.848	1.846	12.17
180	-7.883	2.354	11.61
181	-8.36	1.945	11.45
182	-7.36	2.273	12.02
183	-7.336	2.092	12.055
184	-7.203	2.11	11.97
185	-7.473	1.5	12.22
186	-7.48	2.07	11.82
187	-7.688	1.402	11.49
188	-7.633	2.318	12.38
189	-8.19	2.746	12.14
190	-7.836	1.791	11.625
191	-8.49	1.455	11.8
192	-7.832	1.929	11.43
193	-8.39	1.399	11.414
194	-7.938	1.185	11.67
195	-8.15	1.124	11.71
Average	-8.086	1.824	11.625
