Frame	X	Y	Z
1	-6.89	2.203	11.484
2	-6.203	1.443	11.83
3	-6.805	1.981	11.81
4	-7.2	1.501	11.25
5	-6.6	1.893	11.58
6	-6.98	1.792	11.195
7	-6.824	1.649	11.555
8	-6.285	1.63	11.81
9	-6.465	1.668	11.71
10	-6.586	1.796	11.77
11	-6.797	1.725	11.51
12	-7.07	1.732	11.72
13	-6.188	1.679	11.74
14	-6.9	2.012	11.71
15	-6.32	2.035	11.71
16	-6.266	1.671	11.69
17	-6.613	1.698	11.87
18	-6.645	1.524	11.92
19	-6.81	1.265	11.77
20	-6.805	1.914	11.78
21	-6.996	1.875	11.766
22	-6.523	1.461	11.82
23	-6.773	1.797	11.84
24	-6.99	1.99	11.55
25	-6.453	1.913	11.46
26	-6.824	2.506	11.99
27	-6.59	1.413	11.586
28	-6.348	1.724	11.805
29	-6.37	1.998	12.07
30	-6.81	2.299	11.7
31	-6.85	1.61	11.42
32	-6.92	2.602	11.55
33	-7.074	2.025	11.12
34	-6.688	1.894	11.42
35	-7.086	2.094	11.055
36	-6.758	1.477	11.516
37	-6.625	1.593	11.266
38	-6.65	1.869	11.69
39	-6.69	1.969	11.695
40	-7.0	1.673	11.336
41	-6.766	2.035	11.55
42	-6.855	2.236	11.71
43	-6.777	2.229	11.484
44	-6.85	1.463	11.45
45	-6.93	2.139	11.51
46	-6.336	1.704	11.33
47	-6.617	1.659	11.586
48	-6.684	1.857	11.81
49	-6.348	1.611	11.65
50	-6.11	1.411	11.7
51	-6.69	1.673	11.38
52	-6.336	1.317	11.984
53	-6.297	1.659	11.68
54	-6.387	1.925	11.695
55	-6.375	1.806	11.77
56	-6.516	1.779	11.58
57	-6.305	1.867	11.85
58	-6.355	1.649	12.27
59	-6.33	1.492	11.77
60	-6.324	1.499	11.875
61	-6.688	2.025	11.61
62	-6.39	1.763	12.05
63	-6.05	2.002	12.0
64	-6.55	1.662	11.54
65	-6.6	2.203	11.61
66	-6.188	1.55	11.93
67	-6.46	1.607	11.66
68	-6.414	1.885	11.61
69	-6.438	2.498	11.74
70	-6.695	1.74	11.69
71	-6.38	1.718	12.055
72	-6.16	1.896	11.805
73	-6.086	2.072	11.72
74	-6.33	1.897	12.125
75	-6.53	2.555	11.75
76	-6.383	2.332	11.695
77	-6.074	2.014	11.81
78	-6.31	2.047	11.83
79	-6.23	2.123	11.45
80	-6.26	2.22	11.69
81	-6.363	2.264	11.39
82	-6.523	2.217	11.55
83	-6.336	1.761	11.87
84	-6.34	2.143	11.61
85	-6.926	2.664	11.266
86	-6.18	1.726	12.12
87	-5.84	1.96	11.71
88	-5.83	2.361	11.9
89	-6.41	2.035	11.58
90	-6.52	1.897	11.62
91	-6.44	1.964	11.51
92	-6.17	1.773	11.65
93	-6.645	1.823	11.62
94	-6.605	1.614	11.79
95	-6.73	1.76	11.79
96	-6.316	2.182	11.805
97	-6.297	1.687	12.1
98	-6.664	1.853	11.805
99	-6.4	1.653	11.78
100	-6.43	2.102	11.63
101	-6.254	1.467	11.83
102	-5.99	1.45	11.586
103	-6.17	1.568	11.58
104	-6.27	1.852	11.96
105	-5.95	1.682	11.945
106	-6.29	1.9	11.984
107	-6.086	1.675	11.92
108	-6.344	1.979	11.73
109	-6.36	1.724	11.94
110	-6.28	2.355	11.695
111	-5.94	1.913	11.86
112	-6.277	1.712	11.96
113	-6.6	2.13	11.7
114	-6.625	1.64	11.64
115	-6.367	2.188	11.84
116	-6.81	1.759	11.55
