Frame	X	Y	Z
1	5.71	11.93	-24.97
2	5.797	10.94	-24.7
3	6.086	11.516	-24.66
4	7.215	10.914	-24.8
5	4.82	11.22	-24.86
6	7.227	11.12	-25.28
7	5.793	10.375	-26.19
8	7.285	11.78	-24.38
9	7.656	11.33	-24.55
10	6.754	11.74	-24.6
11	6.773	10.41	-25.73
12	6.332	10.984	-24.84
13	6.227	11.96	-24.98
14	6.098	10.61	-24.62
15	6.703	11.95	-24.12
16	6.56	11.37	-24.88
17	6.363	10.36	-25.52
18	5.87	11.1	-25.05
19	6.535	10.79	-25.36
20	5.984	10.42	-25.4
21	6.54	10.29	-25.28
22	6.703	11.984	-24.14
23	6.414	11.984	-24.86
24	6.78	12.16	-24.17
25	6.19	11.56	-24.62
26	6.285	11.82	-24.69
27	6.195	11.8	-24.28
28	5.484	11.45	-25.05
29	6.17	12.32	-24.97
30	5.355	11.9	-24.55
31	5.887	12.62	-23.92
32	6.445	12.375	-24.86
33	6.586	10.914	-24.89
34	6.344	12.1	-24.97
35	6.293	11.68	-24.73
36	6.45	10.86	-24.75
37	7.324	11.47	-24.42
38	5.48	10.31	-25.55
39	6.484	11.914	-25.05
40	7.44	11.39	-25.14
41	6.652	12.67	-24.1
42	5.754	12.234	-24.56
43	6.332	12.28	-24.52
44	6.598	12.39	-24.47
45	5.305	11.87	-24.92
46	7.242	12.32	-24.2
47	7.844	11.89	-24.53
48	6.99	12.46	-24.34
49	7.008	12.1	-24.61
50	7.395	12.25	-24.52
51	7.53	12.17	-24.61
52	7.44	12.1	-24.36
53	7.383	12.43	-24.19
54	6.477	11.66	-24.61
55	5.945	11.586	-24.3
56	6.09	11.15	-24.8
57	6.617	12.305	-24.3
58	6.574	12.55	-24.05
59	8.04	12.54	-23.95
60	7.184	12.86	-24.23
61	7.4	12.336	-24.22
62	7.586	12.445	-24.25
63	7.164	12.83	-23.8
64	6.035	11.96	-24.02
65	6.07	11.97	-24.62
66	5.3	12.02	-24.16
67	5.254	11.68	-24.42
68	5.605	10.445	-25.42
69	6.22	11.96	-24.12
70	6.19	11.33	-24.27
71	6.027	11.65	-24.31
72	6.105	11.625	-24.58
73	6.258	11.1	-24.48
74	7.06	10.91	-25.66
75	5.605	12.07	-24.55
76	6.586	11.57	-24.78
77	5.7	12.09	-24.66
78	7.137	12.13	-24.44
79	5.86	12.45	-24.81
80	5.477	11.81	-24.81
81	6.094	12.02	-24.12
82	6.258	11.86	-24.69
83	6.227	12.06	-24.16
84	5.93	11.61	-23.98
85	6.69	11.68	-24.7
86	7.54	11.805	-24.2
87	6.76	11.12	-24.42
88	5.863	11.38	-24.55
89	5.355	10.92	-24.7
90	6.336	12.27	-24.7
91	5.91	11.39	-25.19
92	6.188	11.54	-24.77
93	6.016	11.46	-24.66
94	6.203	11.45	-25.28
95	6.1	11.91	-24.64
96	7.156	10.7	-24.9
97	6.117	12.305	-24.72
98	6.883	11.98	-24.25
99	6.465	11.38	-24.31
100	7.504	10.97	-24.55
101	7.11	11.664	-24.25
102	8.13	11.664	-24.8
103	7.297	11.83	-24.69
104	5.902	11.61	-24.66
105	6.652	11.6	-24.27
106	7.066	11.47	-24.48
107	6.48	11.94	-24.23
108	6.035	11.44	-24.39
109	6.832	12.266	-24.92
110	7.72	11.305	-25.11
111	7.973	10.33	-25.55
112	7.473	10.3	-25.89
113	8.15	11.12	-25.17
114	7.227	10.76	-24.98
115	7.797	9.67	-25.36
116	6.91	11.06	-24.88
117	7.156	10.1	-25.27
118	7.8	10.414	-25.77
119	6.414	11.586	-25.31
120	6.926	10.914	-26.03
121	7.3	10.12	-25.19
122	7.613	9.15	-25.83
123	8.75	10.04	-25.38
124	8.22	10.6	-25.56
125	7.887	9.18	-26.19
126	6.832	8.79	-26.92
127	6.34	8.71	-26.22
128	7.457	9.4	-26.3
129	6.99	9.7	-26.58
130	7.547	8.98	-25.84
131	8.18	10.28	-26.1
132	7.312	9.555	-25.95
133	7.066	9.99	-25.89
134	7.555	10.195	-25.56
135	7.26	10.83	-26.39
136	6.297	10.36	-25.22
137	6.43	10.27	-24.94
138	7.32	11.45	-24.88
139	6.72	9.82	-25.88
Average	6.656	11.35	-24.86
