Frame	X	Y	Z
1	-8.95	0.984	11.41
2	-8.766	1.325	11.81
3	-9.44	1.905	11.17
4	-8.484	1.022	11.586
5	-8.484	0.89	11.695
6	-8.98	1.093	11.52
7	-9.19	0.701	11.33
8	-8.76	1.151	11.81
9	-8.62	0.965	11.55
10	-8.41	1.042	11.68
11	-8.586	0.471	11.85
12	-9.05	0.63	11.664
13	-8.67	1.142	11.76
14	-8.93	1.151	10.99
15	-8.77	0.66	11.06
16	-8.99	0.748	11.51
17	-8.48	0.6	11.61
18	-8.46	0.532	11.2
19	-9.125	0.832	11.36
20	-9.07	0.964	11.35
21	-8.95	0.543	11.66
22	-8.914	0.638	11.49
23	-8.984	0.54	11.73
24	-9.22	0.485	11.19
25	-9.26	0.493	11.39
26	-9.29	1.042	11.57
27	-9.01	0.766	11.44
28	-9.08	1.147	11.1
29	-8.45	0.596	11.27
30	-8.4	1.256	11.38
31	-8.68	0.143	11.52
32	-9.305	0.914	11.45
33	-9.07	0.492	11.38
34	-9.48	0.925	11.2
35	-8.6	0.704	11.45
36	-9.18	1.292	11.48
37	-8.484	0.936	11.445
38	-8.9	1.089	11.57
39	-9.19	0.845	11.04
40	-8.516	1.372	11.62
41	-8.07	0.388	11.78
42	-9.16	0.848	10.94
43	-8.87	1.154	11.086
44	-9.33	0.808	10.89
45	-9.1	0.97	11.28
46	-8.7	1.174	11.336
47	-8.38	1.187	11.41
48	-9.08	1.415	11.75
49	-9.016	1.803	11.37
50	-8.61	0.627	11.75
51	-8.61	1.156	11.8
52	-8.586	1.525	11.09
53	-8.83	1.158	11.234
54	-9.13	1.075	11.516
55	-9.13	0.841	11.1
56	-8.8	1.084	11.516
57	-8.81	1.262	11.01
58	-9.11	0.999	11.62
59	-8.49	1.351	11.55
60	-8.875	1.331	11.03
61	-8.695	1.06	11.66
62	-9.25	1.141	11.44
63	-9.664	0.895	11.88
64	-9.03	0.267	11.82
65	-8.8	0.06	12.1
66	-9.4	1.052	11.53
67	-8.65	0.401	11.62
68	-8.07	0.991	11.805
69	-8.54	0.603	11.44
70	-8.82	0.556	11.54
71	-8.375	0.688	11.69
72	-8.56	0.794	11.6
73	-8.85	0.738	11.62
74	-8.9	1.574	12.055
75	-8.766	1.839	11.65
76	-8.44	0.606	11.586
77	-8.93	1.758	11.766
78	-8.87	1.499	11.54
79	-8.71	1.509	11.375
80	-8.92	1.403	11.375
81	-8.25	1.29	11.766
82	-8.56	1.61	11.16
83	-9.22	1.51	11.36
84	-8.414	1.877	11.88
85	-8.766	1.442	11.36
86	-8.05	2.28	12.055
87	-8.57	2.645	11.54
88	-7.992	2.201	11.89
89	-8.68	1.54	11.664
90	-8.69	1.863	11.67
91	-8.33	1.065	11.63
92	-8.516	1.628	11.71
93	-8.59	1.614	11.49
94	-8.77	1.009	11.46
95	-8.82	1.199	11.31
96	-8.3	1.646	11.414
97	-8.375	1.649	11.48
98	-8.8	1.561	11.27
99	-9.21	1.518	11.516
100	-8.26	1.515	11.66
101	-8.53	1.3	11.54
102	-9.01	1.694	11.51
103	-9.055	1.485	11.766
104	-9.06	2.207	11.2
105	-8.375	2.31	11.305
106	-8.56	2.35	11.39
107	-8.914	1.698	11.58
108	-8.6	2.055	11.375
109	-8.625	2.293	11.664
110	-8.55	1.507	11.586
111	-8.32	1.954	11.85
112	-8.445	1.495	11.27
113	-8.305	1.387	12.08
114	-8.414	1.376	11.516
115	-8.484	1.609	11.39
116	-8.07	1.159	11.91
117	-8.516	2.256	12.2
118	-7.992	1.459	11.305
119	-8.6	1.354	11.75
120	-8.414	1.402	11.46
121	-8.945	1.397	11.49
122	-8.91	1.687	11.76
123	-8.38	1.041	11.44
124	-8.71	2.123	11.38
125	-8.92	1.179	11.305
126	-9.06	1.215	11.17
127	-8.87	1.029	11.6
128	-8.88	1.122	11.125
129	-8.51	1.114	11.664
130	-8.98	1.736	11.67
131	-9.266	1.23	11.516
132	-8.87	1.724	11.53
133	-8.62	1.782	11.86
134	-8.77	1.48	11.875
135	-8.39	1.763	11.59
136	-8.71	1.931	11.414
137	-8.945	1.12	11.79
138	-8.99	1.579	11.516
139	-8.86	1.069	11.21
Average	-8.76	1.229	11.516
