Frame	X	Y	Z
1	-6.31	-3.28	-13.68
2	-6.66	-3.549	-13.9
3	-6.73	-3.033	-13.38
4	-6.6	-3.135	-13.57
5	-6.305	-3.287	-13.336
6	-6.46	-2.576	-14.03
7	-5.89	-3.258	-13.86
8	-6.008	-3.062	-13.4
9	-6.695	-2.678	-13.37
10	-6.26	-3.008	-13.234
11	-5.74	-2.754	-13.49
12	-6.656	-2.965	-13.47
13	-6.574	-2.516	-13.58
14	-6.137	-2.705	-13.11
15	-5.926	-2.426	-13.64
16	-5.746	-2.766	-13.61
17	-5.64	-2.957	-13.766
18	-6.094	-3.15	-13.65
19	-6.242	-3.264	-13.53
20	-6.207	-3.605	-13.21
21	-6.113	-2.887	-13.65
22	-6.13	-3.236	-13.89
23	-6.19	-3.047	-13.85
24	-6.387	-3.018	-13.6
25	-6.668	-2.863	-12.92
26	-5.914	-2.854	-13.55
27	-6.53	-3.086	-13.24
28	-5.785	-3.377	-13.805
29	-6.41	-2.504	-13.76
30	-6.465	-2.598	-14.305
31	-5.938	-3.158	-14.195
32	-6.96	-2.977	-13.57
33	-6.656	-2.473	-14.09
34	-6.18	-2.508	-13.68
35	-6.64	-2.865	-13.87
36	-5.785	-2.535	-13.58
37	-6.223	-2.984	-13.51
38	-6.42	-3.146	-13.75
39	-6.3	-2.871	-13.87
40	-6.535	-2.592	-13.81
41	-6.473	-2.97	-13.516
42	-6.707	-3.21	-13.28
43	-6.457	-2.605	-12.82
44	-6.492	-2.947	-13.516
45	-6.6	-2.97	-13.17
46	-6.56	-3.203	-13.38
47	-6.42	-3.115	-13.484
48	-6.145	-3.12	-13.57
49	-6.516	-2.871	-13.66
50	-6.246	-2.598	-13.89
51	-6.723	-3.383	-13.46
52	-6.957	-2.324	-13.484
53	-6.863	-2.873	-13.76
54	-6.39	-3.217	-13.445
55	-6.758	-2.26	-13.734
56	-6.33	-3.275	-13.27
57	-6.12	-3.203	-13.33
58	-6.2	-3.537	-13.9
59	-6.215	-2.918	-13.93
60	-6.402	-2.598	-13.65
61	-6.06	-3.34	-13.23
62	-5.66	-2.88	-13.71
63	-6.156	-3.07	-13.19
64	-6.04	-3.162	-13.375
65	-6.74	-3.312	-13.42
66	-6.82	-3.096	-13.56
67	-6.42	-2.955	-13.586
68	-6.23	-2.502	-13.66
69	-6.453	-3.018	-13.56
70	-6.305	-3.02	-13.875
71	-6.35	-2.205	-13.89
72	-5.863	-2.822	-13.99
73	-5.973	-2.715	-14.06
74	-6.773	-2.967	-13.695
75	-6.23	-3.406	-13.59
76	-6.23	-3.44	-13.51
77	-6.465	-2.621	-13.75
78	-6.562	-2.88	-13.91
79	-6.6	-2.654	-13.69
80	-6.7	-3.545	-14.05
81	-6.11	-3.33	-13.93
82	-6.293	-2.549	-13.57
83	-6.766	-2.809	-13.84
84	-6.43	-3.27	-13.97
85	-6.758	-2.848	-14.0
86	-6.406	-2.889	-13.51
87	-6.43	-2.693	-13.35
88	-6.63	-2.793	-13.63
89	-6.43	-2.764	-13.445
90	-6.176	-2.83	-13.38
91	-6.47	-2.81	-13.61
92	-6.387	-2.807	-13.82
93	-6.61	-3.082	-13.234
94	-6.73	-2.8	-13.516
95	-6.125	-2.598	-13.63
96	-6.35	-2.486	-13.74
97	-6.656	-3.238	-13.62
98	-5.902	-3.379	-13.39
99	-6.23	-2.898	-14.016
100	-6.414	-2.273	-13.97
101	-6.54	-2.543	-13.305
102	-6.46	-2.97	-13.516
103	-6.336	-2.332	-13.56
104	-6.348	-2.637	-13.51
105	-6.43	-2.654	-13.89
106	-6.047	-2.975	-14.01
107	-6.605	-2.84	-13.44
108	-6.09	-3.193	-14.305
109	-5.99	-3.143	-13.41
110	-6.312	-2.861	-13.41
111	-6.14	-2.852	-13.64
112	-6.05	-3.332	-13.46
113	-5.773	-3.588	-13.27
114	-6.457	-3.174	-13.51
115	-5.668	-3.191	-13.99
116	-6.473	-2.863	-13.51
117	-6.23	-3.188	-13.39
118	-6.19	-2.996	-13.36
119	-6.7	-3.102	-13.51
120	-6.555	-2.828	-13.18
121	-6.28	-3.146	-13.77
122	-6.816	-2.744	-13.84
123	-6.305	-2.266	-13.56
124	-6.152	-2.904	-13.55
125	-6.523	-2.727	-13.28
126	-6.23	-3.031	-13.45
127	-6.555	-3.033	-13.57
128	-6.652	-2.832	-13.46
129	-6.28	-3.258	-13.96
130	-6.766	-3.176	-12.73
131	-6.086	-3.031	-13.54
132	-6.637	-3.172	-13.305
133	-6.824	-2.82	-13.51
134	-6.65	-3.0	-13.37
135	-5.973	-2.982	-13.39
136	-6.504	-3.617	-13.05
137	-6.797	-2.95	-13.28
138	-6.754	-3.656	-13.234
139	-6.35	-3.385	-13.484
140	-7.03	-3.057	-13.74
141	-6.613	-3.68	-13.516
142	-6.35	-3.531	-13.445
143	-6.94	-2.66	-13.65
144	-7.496	-3.352	-13.03
145	-6.367	-3.371	-13.24
146	-6.55	-2.725	-13.71
147	-6.348	-3.006	-13.37
148	-7.21	-3.129	-13.52
149	-7.0	-3.275	-13.44
150	-7.152	-2.871	-13.47
151	-6.688	-2.768	-13.945
152	-6.945	-3.273	-13.6
153	-6.633	-3.18	-13.625
154	-6.746	-2.453	-13.8
155	-6.895	-2.984	-13.484
156	-6.53	-3.377	-13.09
157	-6.93	-3.293	-13.3
158	-6.824	-3.373	-13.484
159	-6.844	-3.184	-13.61
160	-6.566	-3.234	-13.04
161	-6.67	-2.703	-13.734
162	-7.05	-3.146	-13.23
163	-6.523	-3.176	-13.83
164	-6.547	-3.25	-13.1
165	-7.03	-2.902	-12.94
166	-6.58	-3.068	-13.47
167	-6.56	-3.59	-13.586
168	-6.2	-3.672	-13.586
169	-6.527	-3.043	-13.984
170	-6.645	-3.46	-13.41
171	-6.777	-3.268	-13.29
172	-6.348	-3.389	-13.695
173	-6.625	-3.254	-13.414
174	-6.8	-2.97	-13.29
175	-7.188	-2.746	-13.45
176	-7.035	-3.098	-13.41
177	-6.69	-3.412	-13.35
178	-6.996	-3.166	-13.445
179	-6.652	-3.426	-13.14
180	-6.86	-3.17	-13.2
181	-7.113	-3.387	-13.43
182	-6.36	-3.18	-13.11
183	-7.11	-2.787	-13.72
184	-6.094	-2.936	-13.56
185	-6.523	-3.086	-13.4
186	-6.547	-3.246	-13.24
187	-6.523	-3.307	-13.414
188	-6.74	-3.115	-13.33
189	-6.477	-3.123	-13.26
190	-6.77	-3.148	-13.19
191	-7.004	-3.018	-13.414
192	-6.96	-2.676	-13.47
193	-6.445	-3.236	-13.7
194	-6.043	-3.22	-13.64
