Frame	X	Y	Z
1	9.21	8.484	12.1
2	8.91	8.164	12.414
3	8.62	8.29	12.195
4	9.62	8.68	12.31
5	9.06	8.62	11.93
6	9.19	8.734	12.21
7	9.05	8.09	12.35
8	8.84	8.48	12.055
9	8.96	8.69	12.04
10	9.41	8.445	11.76
11	9.57	8.7	11.86
12	9.45	7.953	11.97
13	8.99	9.16	11.83
14	9.34	8.65	11.766
15	8.67	8.44	12.03
16	8.78	8.48	11.88
17	9.33	8.95	11.83
18	8.74	8.25	12.51
19	9.24	8.125	12.25
20	8.88	8.305	12.29
21	9.37	8.24	12.195
22	8.93	8.54	12.11
23	9.18	8.45	11.81
24	8.58	9.22	12.234
25	8.31	8.41	11.96
26	8.76	8.43	12.11
27	8.99	8.44	12.555
28	9.22	8.484	11.98
29	8.92	8.73	12.18
30	8.63	8.15	12.37
31	8.88	8.46	12.586
32	8.05	8.42	12.7
33	8.586	8.484	12.38
34	8.945	8.13	11.86
35	8.93	8.64	12.336
36	8.805	8.586	12.234
37	9.05	8.164	12.32
38	8.89	8.58	12.07
39	8.61	8.46	12.23
40	8.99	8.82	11.94
41	9.39	8.55	12.23
42	8.49	9.02	12.04
43	8.31	8.66	12.055
44	8.61	8.44	11.77
45	8.21	8.11	12.234
46	8.49	8.52	11.9
47	8.805	8.12	12.05
48	8.83	8.35	12.305
49	8.66	8.15	12.07
50	8.68	7.99	12.02
51	9.05	8.41	12.04
52	8.89	8.84	12.375
53	8.414	8.26	12.27
54	8.586	8.195	12.18
55	8.8	7.87	12.16
56	8.37	8.56	11.97
57	8.234	8.96	11.79
58	8.78	8.7	12.11
59	8.664	8.3	12.34
60	8.91	8.36	11.79
61	8.37	8.055	12.516
62	8.27	8.45	12.15
63	8.78	8.484	11.914
64	8.66	8.35	11.74
65	8.85	8.375	11.95
66	9.13	8.71	11.58
67	8.234	8.49	12.375
68	8.7	8.34	12.04
69	8.516	8.11	12.15
70	8.83	8.39	12.37
71	8.2	8.89	12.08
72	9.11	8.91	12.086
73	9.375	8.414	11.97
74	8.78	8.42	12.41
75	8.74	7.94	11.99
76	8.89	8.52	12.55
77	8.31	8.31	11.98
78	8.4	8.21	12.445
79	9.17	8.664	12.016
80	9.44	8.125	12.56
81	8.95	7.79	12.11
82	8.125	8.0	11.98
83	8.125	8.4	12.32
84	8.44	8.195	12.4
85	8.336	8.49	12.305
86	8.84	8.375	12.58
87	8.63	8.4	12.055
88	8.52	8.62	11.75
89	8.805	8.016	12.17
90	8.734	8.26	12.24
91	8.83	8.43	11.79
92	8.734	8.7	12.305
93	8.62	8.71	11.98
94	8.65	8.266	12.16
95	8.18	8.32	12.06
96	8.32	8.36	12.24
97	8.73	8.48	12.305
98	8.34	8.24	12.49
99	8.95	8.336	11.94
100	8.78	8.445	12.06
101	8.625	8.72	11.875
102	8.39	8.07	12.17
103	8.67	8.65	11.82
104	8.24	8.63	12.44
105	8.47	8.56	12.125
106	8.086	9.31	12.47
107	8.445	9.13	11.52
108	8.99	8.664	12.29
109	9.14	8.58	12.195
110	8.484	8.68	12.06
111	8.984	8.76	12.555
112	7.914	8.37	12.59
113	8.87	8.72	12.26
114	8.74	8.125	12.08
115	8.54	8.586	12.336
116	8.1	8.11	12.12
117	8.73	9.02	11.77
118	8.83	8.66	12.15
119	8.81	8.74	12.375
120	8.42	9.586	12.37
121	8.32	9.0	12.625
122	8.555	8.555	12.38
123	8.8	8.76	12.29
124	8.445	8.61	12.59
125	8.16	8.695	12.74
126	7.92	8.11	12.29
127	8.8	8.84	12.03
128	8.21	8.65	12.48
129	8.305	8.38	12.29
130	8.72	8.36	12.13
131	8.8	8.82	12.086
132	8.32	8.49	12.25
133	8.55	8.42	12.16
134	8.3	8.57	12.18
135	8.79	8.88	11.53
136	8.8	8.15	12.14
137	9.14	8.71	12.01
138	8.85	8.49	12.32
139	8.79	8.25	11.93
140	8.87	8.55	12.3
141	8.83	8.83	12.24
142	8.88	8.09	12.13
143	8.25	8.71	12.234
144	7.465	8.49	12.945
145	8.4	8.16	12.766
146	7.965	8.86	12.555
147	7.97	8.9	12.52
148	7.527	9.11	12.72
149	7.812	8.29	12.33
150	8.45	7.984	12.74
151	8.05	8.51	12.18
152	8.83	8.375	12.04
153	8.18	8.23	12.35
154	8.57	8.305	12.37
155	8.516	8.09	12.47
156	9.13	7.945	12.25
157	8.67	8.586	11.83
158	8.64	8.59	12.07
159	8.32	8.82	12.17
160	8.164	7.85	12.58
161	8.125	8.3	12.2
162	8.48	7.637	12.305
163	8.03	8.36	11.98
164	7.938	7.797	12.61
165	7.734	8.76	12.71
166	8.76	8.39	12.266
167	8.43	8.38	12.65
168	8.28	8.06	12.4
169	8.65	8.12	12.07
170	8.21	8.52	12.6
171	8.125	7.805	12.57
172	8.62	8.39	12.11
173	7.746	8.6	12.375
174	8.086	8.67	12.21
175	8.23	8.586	12.64
176	8.06	8.81	12.38
177	8.67	8.25	11.99
178	8.82	8.57	11.82
179	8.91	8.414	12.07
180	8.77	8.07	11.93
181	8.375	8.08	12.07
182	9.03	8.266	12.266
183	9.17	8.42	11.984
184	9.055	8.555	11.81
185	8.68	8.414	11.65
186	8.68	8.91	11.875
187	9.06	8.41	11.9
188	8.97	8.78	11.55
189	8.9	8.36	11.555
190	9.08	8.52	11.73
191	8.99	8.42	12.195
192	8.555	8.555	11.94
193	9.25	8.586	12.055
194	8.92	8.516	11.484
195	8.69	8.72	11.766
Average	8.66	8.46	12.17
