Entry	Sequence name	Group	Type	Path	Color
inactive	adrb2_human	Inactive	multi	inputs/inactive	#d62728
intermediate	adrb2_human	Intermediate	multi	inputs/intermediate	#ff7f0e
active	adrb2_human	Active	multi	inputs/active	#2ca02c
