Frame	X	Y	Z
1	inf	49.97	inf
2	inf	49.78	inf
3	inf	49.8	inf
4	inf	50.34	inf
5	inf	50.44	inf
6	inf	50.1	inf
7	inf	50.03	inf
8	inf	50.78	inf
9	inf	50.7	inf
10	inf	50.5	inf
11	inf	50.03	inf
12	inf	49.78	inf
13	inf	49.34	inf
14	inf	50.06	inf
15	inf	49.97	inf
16	inf	50.44	inf
17	inf	49.88	inf
18	inf	50.06	inf
19	inf	50.34	inf
20	inf	49.97	inf
21	inf	50.62	inf
22	inf	50.47	inf
23	inf	50.34	inf
24	inf	50.34	inf
25	inf	50.38	inf
26	inf	50.47	inf
27	inf	50.34	inf
28	inf	50.53	inf
29	inf	50.47	inf
30	inf	51.06	inf
31	inf	50.06	inf
32	inf	50.6	inf
33	inf	50.4	inf
34	inf	49.97	inf
35	inf	50.47	inf
36	inf	49.97	inf
37	inf	50.25	inf
38	inf	50.16	inf
39	inf	50.2	inf
40	inf	50.6	inf
41	inf	50.06	inf
42	inf	50.16	inf
43	inf	50.06	inf
44	inf	49.7	inf
45	inf	50.03	inf
46	inf	49.5	inf
47	inf	50.06	inf
48	inf	50.06	inf
49	inf	50.03	inf
50	inf	49.84	inf
51	inf	49.84	inf
52	inf	49.8	inf
53	inf	49.66	inf
54	inf	49.22	inf
55	inf	49.62	inf
56	inf	49.28	inf
57	inf	49.0	inf
58	inf	49.34	inf
59	inf	49.66	inf
60	inf	49.7	inf
61	inf	49.6	inf
62	inf	49.66	inf
63	inf	49.62	inf
64	inf	49.56	inf
65	inf	48.88	inf
66	inf	49.38	inf
67	inf	49.12	inf
68	inf	49.34	inf
69	inf	49.78	inf
70	inf	49.47	inf
71	inf	49.62	inf
72	inf	49.38	inf
73	inf	49.62	inf
74	inf	49.78	inf
75	inf	49.4	inf
76	inf	49.4	inf
77	inf	49.7	inf
78	inf	49.88	inf
79	inf	49.62	inf
80	inf	49.8	inf
81	inf	49.53	inf
82	inf	49.66	inf
83	inf	49.8	inf
84	inf	49.2	inf
85	inf	49.3	inf
86	inf	49.72	inf
87	inf	49.16	inf
88	inf	49.78	inf
89	inf	49.38	inf
90	inf	50.3	inf
91	inf	50.16	inf
92	inf	50.03	inf
93	inf	50.16	inf
94	inf	49.75	inf
95	inf	50.06	inf
96	inf	49.84	inf
97	inf	49.62	inf
98	inf	49.72	inf
99	inf	49.88	inf
100	inf	50.28	inf
Average	inf	49.9	inf
