Frame	X	Y	Z
1	49.88	49.3	inf
2	48.2	49.4	inf
3	48.53	50.25	inf
4	48.7	50.62	inf
5	48.56	49.34	inf
6	47.75	51.22	inf
7	47.8	51.38	inf
8	47.5	50.97	inf
9	47.66	49.94	inf
10	48.1	51.2	inf
11	47.72	51.3	inf
12	48.47	50.97	inf
13	47.66	50.06	inf
14	47.8	49.4	inf
15	47.78	50.5	inf
16	47.16	50.28	inf
17	48.06	50.97	inf
18	48.3	50.97	inf
19	47.12	49.9	inf
20	47.6	50.34	inf
21	47.16	50.12	inf
22	47.3	49.53	inf
23	46.94	50.1	inf
24	47.4	49.75	inf
25	47.56	50.44	inf
26	48.12	50.84	inf
27	47.44	50.7	inf
28	48.12	50.22	inf
29	48.53	49.12	inf
30	48.03	49.62	inf
31	48.28	49.5	inf
32	48.06	49.56	inf
33	47.9	50.16	inf
34	48.28	50.16	inf
35	48.9	49.78	inf
36	48.56	49.97	inf
37	48.38	49.8	inf
38	48.97	50.1	inf
39	48.3	49.4	inf
40	48.56	50.72	inf
41	49.1	50.66	inf
42	48.53	50.3	inf
43	48.22	51.03	inf
44	48.03	50.84	inf
45	49.2	49.88	inf
46	47.3	49.84	inf
47	47.72	50.6	inf
48	47.9	50.94	inf
49	47.38	50.84	inf
50	48.53	49.78	inf
51	48.84	50.28	inf
52	48.34	50.34	inf
53	47.8	51.16	inf
54	48.34	50.53	inf
55	48.7	50.4	inf
56	48.16	49.97	inf
57	48.16	49.88	inf
58	48.5	49.97	inf
59	47.7	50.9	inf
60	47.66	50.6	inf
61	48.4	50.25	inf
62	48.34	50.8	inf
63	47.9	50.4	inf
64	48.0	50.5	inf
65	48.25	50.2	inf
66	48.4	50.7	inf
67	48.2	50.8	inf
68	48.62	50.4	inf
69	47.9	49.88	inf
70	47.88	49.66	inf
71	47.47	49.53	inf
72	48.34	49.56	inf
73	47.44	49.5	inf
74	47.56	50.25	inf
75	48.3	50.62	inf
76	47.25	50.75	inf
77	47.8	51.16	inf
78	48.34	50.62	inf
79	47.94	50.97	inf
80	48.22	51.97	inf
81	48.2	51.38	inf
82	48.03	51.22	inf
83	48.2	51.22	inf
84	48.53	51.25	inf
85	47.97	51.2	inf
86	48.75	51.56	inf
87	48.0	51.72	inf
88	48.47	51.9	inf
89	47.94	51.75	inf
90	48.84	51.56	inf
91	48.7	50.2	inf
92	48.44	51.8	inf
93	48.6	51.0	inf
94	48.22	50.8	inf
95	48.12	50.34	inf
96	48.7	50.16	inf
97	48.62	51.6	inf
98	48.84	51.44	inf
99	48.8	51.22	inf
100	47.66	50.22	inf
Average	48.12	50.5	inf
