Frame	X	Y	Z
1	inf	36.47	inf
2	inf	36.5	inf
3	inf	36.38	inf
4	inf	36.28	inf
5	inf	36.47	inf
6	inf	36.2	inf
7	inf	35.75	inf
8	inf	35.84	inf
9	inf	36.22	inf
10	inf	36.4	inf
11	inf	35.88	inf
12	inf	36.8	inf
13	inf	36.34	inf
14	inf	36.34	inf
15	inf	36.44	inf
16	inf	36.25	inf
17	inf	36.56	inf
18	inf	36.6	inf
19	inf	36.53	inf
20	inf	36.8	inf
21	inf	36.4	inf
22	inf	36.5	inf
23	inf	36.12	inf
24	inf	36.38	inf
25	inf	36.4	inf
26	inf	36.34	inf
27	inf	36.5	inf
28	inf	36.25	inf
29	inf	36.34	inf
30	inf	36.3	inf
31	inf	36.4	inf
32	inf	36.78	inf
33	inf	36.3	inf
34	inf	36.22	inf
35	inf	36.44	inf
36	inf	36.25	inf
37	inf	36.06	inf
38	inf	36.16	inf
39	inf	35.97	inf
40	inf	36.4	inf
41	inf	36.38	inf
42	inf	36.16	inf
43	inf	36.25	inf
44	inf	36.7	inf
45	inf	36.56	inf
46	inf	36.16	inf
47	inf	36.34	inf
48	inf	36.28	inf
49	inf	36.38	inf
50	inf	36.25	inf
51	inf	36.16	inf
52	inf	36.22	inf
53	inf	36.12	inf
54	inf	36.56	inf
55	inf	36.38	inf
56	inf	36.1	inf
57	inf	36.1	inf
58	inf	36.34	inf
59	inf	36.1	inf
60	inf	36.47	inf
61	inf	36.38	inf
62	inf	36.88	inf
63	inf	36.16	inf
64	inf	36.2	inf
65	inf	36.38	inf
66	inf	36.4	inf
67	inf	36.7	inf
68	inf	36.16	inf
69	inf	36.44	inf
70	inf	36.44	inf
71	inf	36.3	inf
72	inf	36.44	inf
73	inf	36.0	inf
74	inf	36.5	inf
75	inf	36.4	inf
76	inf	36.28	inf
77	inf	36.6	inf
78	inf	36.28	inf
79	inf	36.1	inf
80	inf	36.0	inf
81	inf	36.28	inf
82	inf	36.44	inf
83	inf	36.03	inf
84	inf	36.2	inf
85	inf	35.97	inf
86	inf	36.5	inf
87	inf	36.25	inf
88	inf	35.72	inf
89	inf	36.16	inf
90	inf	36.25	inf
91	inf	36.3	inf
92	inf	36.38	inf
93	inf	36.12	inf
94	inf	36.28	inf
95	inf	36.62	inf
96	inf	36.1	inf
97	inf	36.34	inf
98	inf	36.22	inf
99	inf	36.38	inf
100	inf	36.34	inf
Average	inf	36.3	inf
