Frame	X	Y	Z
1	inf	64.25	58.34
2	inf	62.9	57.66
3	inf	63.1	58.1
4	inf	64.25	57.03
5	inf	64.06	57.2
6	inf	64.7	57.84
7	inf	inf	58.03
8	inf	62.8	57.12
9	inf	64.06	57.97
10	inf	64.7	57.56
11	inf	64.56	57.53
12	inf	64.75	57.62
13	inf	63.75	57.5
14	inf	64.9	58.16
15	inf	64.25	58.66
16	inf	65.06	58.94
17	inf	64.44	57.1
18	inf	63.3	57.53
19	65.5	64.56	58.03
20	inf	64.3	57.88
21	inf	64.5	58.12
22	inf	64.3	58.44
23	65.4	64.7	58.5
24	inf	64.8	58.3
25	inf	65.06	59.3
26	inf	64.25	58.16
27	inf	65.06	57.66
28	inf	64.4	58.56
29	65.44	65.3	57.9
30	inf	64.94	56.97
31	inf	65.2	57.97
32	inf	inf	58.44
33	65.5	65.0	58.28
34	inf	64.5	58.9
35	inf	64.8	58.75
36	inf	64.4	57.22
37	inf	65.2	57.9
38	inf	65.1	58.12
39	inf	64.3	58.03
40	inf	65.0	58.5
41	inf	64.8	58.78
42	inf	65.3	58.5
43	inf	65.25	58.56
44	inf	65.44	59.16
45	inf	65.06	58.2
46	65.3	64.94	59.4
47	65.1	65.4	59.3
48	64.56	65.25	59.1
49	65.44	65.0	59.0
50	64.94	65.25	58.9
51	64.0	65.2	58.9
52	64.7	64.75	57.97
53	65.0	64.75	58.1
54	inf	64.8	58.47
55	inf	64.75	58.16
56	64.5	65.44	58.34
57	inf	65.06	58.88
58	inf	64.1	58.7
59	inf	64.44	58.8
60	inf	65.44	58.56
61	inf	65.1	58.5
62	inf	65.4	57.22
63	inf	inf	59.12
64	inf	inf	58.94
65	inf	64.4	57.62
66	inf	64.3	58.38
67	inf	64.8	58.44
68	inf	64.9	58.38
69	inf	64.25	58.3
70	inf	64.7	57.97
71	inf	64.7	57.8
72	inf	65.0	57.97
73	inf	65.2	57.97
74	inf	inf	58.06
75	inf	64.7	58.1
76	inf	65.0	57.97
77	inf	65.06	58.2
78	inf	65.06	58.2
79	inf	65.06	58.4
80	inf	65.25	58.4
81	inf	65.1	59.06
82	inf	65.1	58.5
83	inf	64.8	59.38
84	inf	65.0	58.38
85	inf	65.2	59.06
86	inf	64.6	58.1
87	inf	64.7	58.16
88	inf	65.4	58.34
89	inf	65.0	58.16
90	inf	64.56	58.25
91	inf	64.9	58.2
92	inf	64.4	58.38
93	inf	65.4	58.94
94	inf	inf	58.47
95	inf	65.5	58.72
96	inf	inf	57.75
97	inf	64.44	58.38
98	inf	inf	58.78
99	inf	inf	58.12
100	65.4	inf	58.3
Average	inf	64.9	58.28
