Frame	X	Y	Z
1	53.9	49.72	65.1
2	53.06	50.06	65.2
3	52.8	49.22	64.44
4	53.66	49.88	64.94
5	53.75	49.47	65.1
6	53.6	49.88	64.56
7	53.88	49.75	inf
8	54.1	49.97	inf
9	53.78	49.94	inf
10	53.38	49.8	inf
11	53.94	49.88	inf
12	53.97	49.72	65.3
13	53.97	49.7	inf
14	53.84	49.6	65.3
15	54.4	49.6	65.2
16	53.72	50.2	inf
17	53.94	50.06	64.94
18	54.44	49.94	65.06
19	54.12	50.25	65.2
20	53.78	49.75	65.06
21	53.9	50.28	65.44
22	53.53	50.03	65.25
23	53.9	50.2	64.9
24	54.12	49.97	65.4
25	53.97	50.34	65.5
26	53.56	50.34	65.1
27	53.47	49.84	65.2
28	53.66	50.5	65.44
29	54.28	50.44	65.2
30	53.97	50.88	64.9
31	53.9	50.84	64.3
32	54.22	50.75	64.9
33	53.75	50.06	65.3
34	53.62	50.53	65.0
35	54.53	49.97	65.2
36	54.16	50.2	64.9
37	53.97	50.03	65.44
38	53.8	50.2	65.25
39	53.97	50.47	65.44
40	53.9	50.25	65.1
41	54.06	50.1	65.5
42	54.2	50.12	65.44
43	54.16	49.84	65.44
44	53.88	49.72	65.06
45	53.8	50.25	65.2
46	53.84	49.75	65.1
47	54.2	49.88	65.0
48	54.28	49.38	65.0
49	53.94	49.97	65.0
50	54.1	49.72	65.06
51	54.1	49.7	64.75
52	53.94	50.25	inf
53	53.88	49.84	65.44
54	54.34	48.84	65.1
55	53.72	49.66	65.4
56	53.97	49.56	65.4
57	54.25	49.7	65.25
58	54.03	49.66	65.25
59	53.97	49.66	65.06
60	54.2	49.9	65.44
61	54.06	49.78	65.5
62	54.1	49.97	64.75
63	54.1	49.8	65.25
64	53.9	49.97	inf
65	53.88	49.84	65.5
66	53.9	49.34	65.2
67	54.44	49.6	64.8
68	54.44	49.38	64.9
69	54.38	49.84	65.25
70	54.97	49.56	65.25
71	54.62	49.62	65.2
72	54.06	49.78	65.2
73	53.8	49.56	65.06
74	54.25	49.53	64.94
75	53.8	49.88	64.94
76	53.97	49.7	65.1
77	53.75	49.97	65.0
78	53.9	50.5	65.2
79	53.97	50.34	64.94
80	53.66	50.25	65.44
81	53.44	49.88	65.3
82	53.84	50.12	65.25
83	54.25	50.3	65.25
84	54.5	50.34	64.8
85	53.34	49.97	65.44
86	53.75	49.78	65.2
87	54.12	50.44	65.2
88	54.28	50.4	65.25
89	53.62	50.3	65.25
90	54.2	50.34	65.0
91	53.7	49.88	65.25
92	53.72	50.22	65.2
93	53.78	50.2	65.25
94	54.06	49.97	64.8
95	54.1	50.44	inf
96	54.25	50.22	65.25
97	53.94	50.03	64.94
98	53.94	50.3	65.4
99	53.84	50.25	65.1
100	54.03	50.28	65.1
Average	53.97	49.97	65.2
