Frame	X	Y	Z
1	inf	34.2	inf
2	inf	34.22	inf
3	inf	33.97	inf
4	inf	33.8	inf
5	inf	33.62	inf
6	inf	33.97	inf
7	inf	33.78	inf
8	inf	34.1	inf
9	inf	33.94	inf
10	inf	33.7	inf
11	inf	34.1	inf
12	inf	34.03	inf
13	inf	34.7	inf
14	inf	34.2	inf
15	inf	33.66	inf
16	inf	34.28	inf
17	inf	33.97	inf
18	inf	33.78	inf
19	inf	34.5	inf
20	inf	33.88	inf
21	inf	34.84	inf
22	inf	33.97	inf
23	inf	33.97	inf
24	inf	34.56	inf
25	inf	34.16	inf
26	inf	34.44	inf
27	inf	34.22	inf
28	inf	34.5	inf
29	inf	33.94	inf
30	inf	34.88	inf
31	inf	34.06	inf
32	inf	34.6	inf
33	inf	34.22	inf
34	inf	34.4	inf
35	inf	33.97	inf
36	inf	34.72	inf
37	inf	33.8	inf
38	inf	34.72	inf
39	inf	34.44	inf
40	inf	34.16	inf
41	inf	34.34	inf
42	inf	33.8	inf
43	inf	33.8	inf
44	inf	34.2	inf
45	inf	34.28	inf
46	inf	34.03	inf
47	inf	34.7	inf
48	inf	33.97	inf
49	inf	34.2	inf
50	inf	34.1	inf
51	inf	34.34	inf
52	inf	33.6	inf
53	inf	34.6	inf
54	inf	34.3	inf
55	inf	34.16	inf
56	inf	34.88	inf
57	inf	34.1	inf
58	inf	34.03	inf
59	inf	34.2	inf
60	inf	33.84	inf
61	inf	34.16	inf
62	inf	33.88	inf
63	inf	34.56	inf
64	inf	34.34	inf
65	inf	34.2	inf
66	inf	34.44	inf
67	inf	34.38	inf
68	inf	34.6	inf
69	inf	34.3	inf
70	inf	34.75	inf
71	inf	35.0	inf
72	inf	34.84	inf
73	inf	34.6	inf
74	inf	34.72	inf
75	inf	34.4	inf
76	inf	34.78	inf
77	inf	34.66	inf
78	inf	34.38	inf
79	inf	33.6	inf
80	inf	34.2	inf
81	inf	34.6	inf
82	inf	34.1	inf
83	inf	34.44	inf
84	inf	34.4	inf
85	inf	34.12	inf
86	inf	34.6	inf
87	inf	34.88	inf
88	inf	34.34	inf
89	inf	34.16	inf
90	inf	34.28	inf
91	inf	34.16	inf
92	inf	34.44	inf
93	inf	34.16	inf
94	inf	34.12	inf
95	inf	34.53	inf
96	inf	34.97	inf
97	inf	35.03	inf
98	inf	34.56	inf
99	inf	35.3	inf
100	inf	34.84	inf
Average	inf	34.28	inf
