Frame	X	Y	Z
1	inf	42.06	62.25
2	inf	41.7	62.44
3	inf	42.25	62.25
4	inf	42.3	62.38
5	inf	41.44	62.97
6	inf	42.1	62.44
7	inf	41.97	62.28
8	inf	41.8	62.7
9	inf	41.97	62.78
10	inf	41.9	62.5
11	inf	42.16	62.9
12	inf	42.16	63.3
13	inf	41.5	62.4
14	inf	41.9	62.6
15	inf	41.8	62.28
16	inf	42.44	62.3
17	inf	41.53	62.75
18	inf	41.9	62.62
19	inf	42.28	62.34
20	inf	41.97	62.16
21	inf	42.56	62.3
22	inf	41.78	62.4
23	inf	41.97	62.38
24	inf	41.56	62.2
25	inf	41.6	62.06
26	inf	41.78	62.38
27	inf	41.88	62.88
28	inf	42.12	62.5
29	inf	41.9	62.56
30	inf	41.97	61.94
31	inf	41.88	62.22
32	inf	41.97	62.1
33	inf	42.22	62.6
34	inf	42.1	62.44
35	inf	42.53	62.28
36	inf	41.6	62.62
37	inf	41.9	62.38
38	inf	42.1	61.9
39	inf	42.1	61.94
40	inf	42.34	62.03
41	inf	42.28	62.16
42	inf	42.4	61.66
43	inf	42.12	62.44
44	inf	42.44	62.28
45	inf	41.97	61.94
46	inf	42.16	61.78
47	inf	41.97	61.56
48	inf	43.28	61.7
49	inf	42.53	61.53
50	inf	42.34	61.9
51	inf	41.8	61.66
52	inf	42.78	61.34
53	inf	42.38	61.5
54	inf	42.34	61.97
55	inf	42.1	61.8
56	inf	42.7	61.6
57	inf	42.97	61.9
58	inf	42.44	61.84
59	inf	42.53	61.9
60	inf	42.66	62.25
61	inf	42.25	62.34
62	inf	42.34	61.8
63	inf	42.75	61.88
64	inf	42.72	62.28
65	inf	42.84	61.88
66	inf	42.3	61.72
67	inf	42.34	62.03
68	inf	42.75	61.88
69	inf	41.88	61.97
70	inf	41.97	61.62
71	inf	42.2	62.03
72	inf	42.62	61.88
73	inf	41.97	61.56
74	inf	41.97	61.5
75	inf	42.53	62.03
76	inf	42.47	61.84
77	inf	42.4	61.8
78	inf	42.2	61.47
79	inf	42.34	62.06
80	inf	42.7	62.66
81	inf	41.53	61.8
82	inf	42.22	62.03
83	inf	42.53	62.56
84	inf	42.56	61.84
85	inf	42.28	61.72
86	inf	42.47	61.75
87	inf	43.03	62.3
88	inf	43.28	61.9
89	inf	43.44	62.12
90	inf	42.53	61.7
91	inf	42.34	62.03
92	inf	42.94	61.5
93	inf	42.66	61.4
94	inf	42.8	62.38
95	inf	42.62	62.16
96	inf	42.62	62.38
97	inf	42.75	62.4
98	inf	42.84	61.88
99	inf	42.34	62.12
100	inf	42.62	61.8
Average	inf	42.28	62.12
