Frame	X	Y	Z
1	inf	55.1	62.84
2	inf	54.9	62.62
3	inf	55.44	63.0
4	inf	54.94	62.78
5	inf	55.2	62.97
6	inf	54.72	62.53
7	inf	55.0	62.75
8	inf	54.78	62.72
9	inf	54.97	62.88
10	inf	55.4	62.5
11	inf	55.16	62.56
12	inf	55.25	62.44
13	inf	55.25	62.7
14	inf	55.66	63.12
15	inf	55.16	62.3
16	inf	55.28	62.66
17	inf	55.2	62.5
18	inf	55.5	62.44
19	inf	55.06	63.12
20	inf	55.06	62.8
21	inf	54.78	62.5
22	inf	55.03	62.9
23	inf	54.88	63.06
24	inf	55.0	63.2
25	inf	54.72	62.7
26	inf	55.25	62.84
27	inf	55.3	62.56
28	inf	54.97	62.78
29	inf	55.16	62.62
30	inf	55.2	62.47
31	inf	54.78	62.75
32	inf	55.2	62.88
33	inf	55.1	62.97
34	inf	55.03	62.84
35	inf	55.22	62.7
36	inf	55.4	62.88
37	inf	55.3	62.75
38	inf	55.28	62.3
39	inf	54.88	62.94
40	inf	55.25	62.44
41	inf	55.1	62.53
42	inf	55.25	62.44
43	inf	55.47	62.44
44	inf	55.88	62.94
45	inf	55.44	62.75
46	inf	55.7	62.66
47	inf	55.44	62.47
48	inf	55.4	62.66
49	inf	54.97	62.44
50	inf	55.3	62.72
51	inf	55.12	62.6
52	inf	55.4	62.78
53	inf	55.25	62.53
54	inf	55.56	62.62
55	inf	55.56	63.12
56	inf	55.56	62.44
57	inf	55.5	62.5
58	inf	55.47	62.78
59	inf	55.28	62.8
60	inf	55.3	62.4
61	inf	55.47	62.72
62	inf	55.62	62.78
63	inf	55.8	63.25
64	inf	55.6	63.06
65	inf	56.0	63.22
66	inf	55.6	62.56
67	inf	56.12	63.0
68	inf	55.66	63.0
69	inf	55.94	63.1
70	inf	56.12	62.97
71	inf	56.2	63.4
72	inf	55.75	62.97
73	inf	55.78	62.66
74	inf	55.66	62.7
75	inf	55.84	63.06
76	inf	55.38	63.16
77	inf	56.06	63.0
78	inf	55.75	62.56
79	inf	55.53	63.25
80	inf	55.28	62.75
81	inf	55.6	63.0
82	inf	55.75	63.6
83	inf	55.47	63.1
84	inf	55.84	63.56
85	inf	55.47	63.03
86	inf	55.56	63.3
87	inf	55.44	62.9
88	inf	55.2	63.0
89	inf	55.56	63.66
90	inf	55.2	63.38
91	inf	55.3	62.84
92	inf	55.56	63.47
93	inf	55.75	63.88
94	inf	55.6	63.5
95	inf	55.5	63.4
96	inf	55.44	63.38
97	inf	55.53	63.53
98	inf	55.6	63.06
99	inf	55.5	63.4
100	inf	55.4	63.56
Average	inf	55.38	62.88
