Frame	X	Y	Z
1	inf	41.4	61.34
2	inf	41.5	61.8
3	inf	41.75	61.94
4	inf	41.3	61.84
5	inf	41.4	61.34
6	inf	41.16	62.03
7	inf	41.62	61.44
8	inf	41.44	61.84
9	inf	41.53	61.56
10	inf	41.97	61.4
11	inf	41.62	62.16
12	inf	41.88	62.47
13	inf	42.03	61.9
14	inf	42.7	62.22
15	inf	41.94	61.94
16	inf	42.12	62.12
17	inf	42.25	62.47
18	inf	42.56	61.75
19	inf	42.16	62.06
20	inf	42.53	61.66
21	inf	41.56	62.1
22	inf	41.84	62.1
23	inf	41.97	61.9
24	inf	41.7	61.72
25	inf	41.7	61.97
26	inf	41.78	61.62
27	inf	41.94	61.47
28	inf	41.94	61.53
29	inf	41.2	61.8
30	inf	41.47	62.06
31	inf	41.2	62.16
32	inf	42.06	62.22
33	inf	41.5	61.75
34	inf	41.88	61.7
35	inf	41.44	61.8
36	inf	41.8	62.78
37	inf	41.66	62.03
38	inf	42.06	61.56
39	inf	41.53	62.2
40	inf	41.66	62.06
41	inf	41.78	62.12
42	inf	41.9	62.06
43	inf	42.5	61.53
44	inf	42.38	61.62
45	inf	42.12	62.9
46	inf	42.06	62.62
47	inf	41.5	62.53
48	inf	41.8	62.03
49	inf	41.66	62.47
50	inf	41.97	62.47
51	inf	41.94	62.7
52	inf	42.06	62.7
53	inf	42.12	61.75
54	inf	42.2	63.1
55	inf	42.2	62.6
56	inf	42.16	62.47
57	inf	42.34	62.7
58	inf	42.62	62.4
59	inf	42.12	62.44
60	inf	42.22	62.3
61	inf	42.38	61.7
62	inf	42.4	62.2
63	inf	42.25	62.2
64	inf	42.4	61.97
65	inf	42.78	62.1
66	inf	42.7	62.28
67	inf	42.88	62.34
68	inf	42.84	62.62
69	inf	42.4	62.25
70	inf	43.1	62.03
71	inf	43.0	61.97
72	inf	42.84	61.94
73	inf	42.4	62.3
74	inf	42.28	62.53
75	inf	42.66	62.38
76	inf	42.34	62.38
77	inf	42.66	62.62
78	inf	42.44	62.44
79	inf	42.34	63.1
80	inf	42.28	62.66
81	inf	42.56	62.47
82	inf	42.53	62.7
83	inf	42.3	62.75
84	inf	41.9	62.53
85	inf	42.4	62.22
86	inf	42.38	62.16
87	inf	42.16	62.56
88	inf	42.4	62.84
89	inf	42.06	62.62
90	inf	42.66	62.56
91	inf	42.25	62.34
92	inf	42.34	62.84
93	inf	42.44	62.56
94	inf	42.38	62.88
95	inf	41.62	62.22
96	inf	42.03	62.97
97	inf	42.22	62.34
98	inf	42.16	62.5
99	inf	42.47	62.53
100	inf	42.16	62.84
Average	inf	42.1	62.22
