Frame	X	Y	Z
1	49.53	56.7	56.2
2	49.34	56.88	56.94
3	49.2	57.7	56.6
4	49.03	57.75	56.7
5	49.3	58.84	56.2
6	48.22	58.75	57.47
7	48.7	59.28	57.44
8	49.28	58.38	56.7
9	48.78	58.56	57.34
10	49.4	57.28	56.22
11	49.25	57.38	56.84
12	48.12	57.9	57.12
13	49.1	57.78	56.8
14	48.9	57.72	56.6
15	49.28	58.16	56.5
16	48.6	57.53	56.88
17	48.84	58.16	57.34
18	48.4	58.78	57.66
19	48.53	59.1	58.6
20	48.7	59.22	57.66
21	49.25	59.25	57.22
22	48.97	58.38	57.94
23	48.25	58.56	58.06
24	48.8	57.9	56.7
25	48.6	57.94	57.0
26	48.3	58.5	56.7
27	49.28	57.72	57.2
28	48.0	58.4	58.1
29	48.9	57.22	57.12
30	48.6	58.9	58.06
31	48.9	57.06	57.0
32	48.56	57.62	57.44
33	48.88	57.7	56.9
34	48.34	57.9	57.5
35	48.53	58.44	57.5
36	49.38	57.56	56.2
37	49.16	57.38	56.3
38	48.78	57.62	57.06
39	49.2	57.1	56.78
40	48.12	57.2	57.75
41	48.25	56.94	57.4
42	48.4	56.88	57.47
43	48.75	57.03	57.44
44	48.72	57.22	57.03
45	48.97	57.62	57.2
46	48.62	56.84	57.16
47	49.03	57.0	57.3
48	48.72	57.25	56.88
49	48.97	57.2	56.7
50	49.06	57.4	56.94
51	48.3	57.78	57.53
52	48.1	57.6	57.53
53	47.97	57.62	57.94
54	48.3	57.28	57.3
55	48.03	57.7	57.66
56	47.75	58.75	58.2
57	48.1	57.56	57.47
58	48.47	57.03	57.44
59	48.7	56.2	57.1
60	48.75	57.3	56.88
61	48.44	57.25	57.5
62	48.03	58.3	57.44
63	48.6	58.44	56.84
64	48.47	58.1	57.47
65	48.28	57.2	57.84
66	48.94	57.25	56.3
67	48.88	58.72	56.5
68	48.72	58.84	57.28
69	48.78	59.6	57.06
70	48.75	58.44	57.22
71	49.06	58.38	56.8
72	48.62	59.1	57.25
73	48.53	59.44	57.78
74	48.0	59.12	57.72
75	48.2	58.84	57.78
76	48.12	58.9	57.66
77	47.1	58.88	58.88
78	47.72	59.1	57.97
79	47.56	58.97	57.66
80	48.12	59.22	57.12
81	48.16	58.22	57.6
82	48.6	56.72	56.88
83	48.44	56.9	56.72
84	48.97	56.3	56.53
85	49.28	56.94	56.12
86	49.1	56.5	56.12
87	49.2	56.75	56.5
88	49.0	56.1	56.0
89	48.7	57.1	56.9
90	48.7	57.7	57.28
91	48.94	57.1	56.62
92	48.78	58.1	57.62
93	48.56	57.3	56.8
94	48.3	57.4	56.25
95	48.3	57.1	56.7
96	48.97	58.2	56.4
97	48.78	57.44	56.4
98	48.2	57.5	57.66
99	47.94	57.97	57.3
100	48.3	57.84	57.25
Average	48.62	57.84	57.16
